48	Невская губа	24.10.2012 г.	10	13.8 (м)	8.0 (0С)	1.5 (м)	Е.Ю. Воякина
49	Невская губа	22.10.2012 г.	13	5.1 (м)	8.8 (0С)	2.0 (м)	Е.Ю. Воякина
50	Невская губа	23.10.2012 г.	39	14.2 (м)	8.3 (0С)	1.6 (м)	Е.Ю. Воякина
51	Невская губа	22.10.2012 г.	15	7.6 (м)	8.9 (0С)	1.9 (м)	Е.Ю. Воякина
52	Невская губа	23.10.2012 г.	16	14.2 (м)	8.5 (0С)	1.4 (м)	Е.Ю. Воякина
53	Невская губа	24.10.2012 г.	30	8.4 (м)	7.6 (0С)	1.4 (м)	Е.Ю. Воякина
54	Невская губа	24.10.2012 г.	5	12.2 (м)	8.8 (0С)	0.8 (м)	Е.Ю. Воякина
55	Невская губа	24.10.2012 г.	6	5.0 (м)	8.1 (0С)	1.5 (м)	Е.Ю. Воякина
56	Невская губа	24.10.2012 г.	11	2.8 (м)	7.8 (0С)	1.5 (м)	Е.Ю. Воякина
57	Невская губа	23.10.2012 г.	11а	0.6 (м)	5.6 (0С)	0.5 (м)	Е.Ю. Воякина
58	Невская губа	23.10.2012 г.	14	4.0 (м)	8.1 (0С)	1.9 (м)	Е.Ю. Воякина
59	Невская губа	23.10.2012 г.	14а	0.7 (м)	5.7 (0С)	0.5 (м)	Е.Ю. Воякина
60	Невская губа	23.10.2012 г.	17	4.0 (м)	7.9 (0С)	1.6 (м)	Е.Ю. Воякина
61	Невская губа	23.10.2012 г.	17а	1.0 (м)	7.4 (0С)	0.5 (м)	Е.Ю. Воякина
62	Невская губа	24.10.2012 г.	25	14.0 (м)	7.6 (0С)	1.4 (м)	Е.Ю. Воякина
63	Восточная часть Финского залива	10.07.2012 г.	1	30.0 (м)	19.7 (°С)	1.9 (м)	Е.Ю. Воякина
64	Восточная часть Финского залива	10.07.2012 г.	19	11.0 (м)	20.5 (°С)	2.3 (м)	Е.Ю. Воякина
65	Восточная часть Финского залива	10.07.2012 г.	20	13.0 (м)	20.0 (°С)	2.4 (м)	Е.Ю. Воякина
66	Восточная часть Финского залива	10.07.2012 г.	21	15.0 (м)	19.7 (°С)	2.2 (м)	Е.Ю. Воякина
67	Восточная часть Финского залива	10.07.2012 г.	22	20.0 (м)	19.4 (°С)	2.8 (м)	Е.Ю. Воякина
68	Восточная часть Финского залива	10.07.2012 г.	24	22.0 (м)	19.7 (°С)	1.9 (м)	Е.Ю. Воякина
69	Восточная часть Финского залива	10.07.2012 г.	26	8.0 (м)	20.0 (°С)	1.8 (м)	Е.Ю. Воякина
70	Восточная часть Финского залива	11.07.2012 г.	2	38.0 (м)	18.4 (°С)	3.5 (м)	Е.Ю. Воякина
71	Восточная часть Финского залива	21.07.2012 г.	А	30.0 (м)	17.2 (°С)	2.4 (м)	Е.Ю. Воякина
72	Восточная часть Финского залива	11.07.2012 г.	6л	27.0 (м)	17.8 (°С)	3.2 (м)	Е.Ю. Воякина
73	Восточная часть Финского залива	11.07.2012 г.	18л	11.0 (м)	17.5 (°С)	2.6 (м)	Е.Ю. Воякина
74	Восточная часть Финского залива	11.07.2012 г.	3к	14.0 (м)	19.2 (°С)	2.7 (м)	Е.Ю. Воякина
75	Восточная часть Финского залива	11.07.2012 г.	6к	26.0 (м)	18.4 (°С)	2.8 (м)	Е.Ю. Воякина
76	Восточная часть Финского залива	18.08.2012 г.	1	30.0 (м)	18.7 (°С)	1.9 (м)	Е.Ю. Воякина
77	Восточная часть Финского залива	22.08.2012 г.	19	10.5 (м)	17.8 (°С)	1.6 (м)	Е.Ю. Воякина
78	Восточная часть Финского залива	22.08.2012 г.	20	12.5 (м)	17.8 (°С)	2.0 (м)	Е.Ю. Воякина
79	Восточная часть Финского залива	22.08.2012 г.	21	14.5 (м)	17.8 (°С)	1.9 (м)	Е.Ю. Воякина
80	Восточная часть Финского залива	22.08.2012 г.	22	20.0 (м)	17.7 (°С)	2.2 (м)	Е.Ю. Воякина
81	Восточная часть Финского залива	18.08.2012 г.	24	23.0 (м)	19.2 (°С)	1.7 (м)	Е.Ю. Воякина
82	Восточная часть Финского залива	22.08.2012 г.	26	7.0 (м)	16.6 (°С)	2.0 (м)	Е.Ю. Воякина
83	Восточная часть Финского залива	18.08.2012 г.	2	37.5 (м)	18.4 (°С)	2.5 (м)	Е.Ю. Воякина
84	Восточная часть Финского залива	22.08.2012 г.	3	50.0 (м)	17.2 (°С)	3.9 (м)	Е.Ю. Воякина
85	Восточная часть Финского залива	22.08.2012 г.	4	63.0 (м)	16.5 (°С)	- (м)	Е.Ю. Воякина
86	Восточная часть Финского залива	21.08.2012 г.	А	20.5 (м)	17.8 (°С)	3.9 (м)	Е.Ю. Воякина
87	Восточная часть Финского залива	19.08.2012 г.	6л	27.0 (м)	17.6 (°С)	3.0 (м)	Е.Ю. Воякина
88	Восточная часть Финского залива	19.08.2012 г.	18л	10.0 (м)	18.2 (°С)	2.3 (м)	Е.Ю. Воякина
89	Восточная часть Финского залива	19.08.2012 г.	3к	13.0 (м)	17.9 (°С)	2.0 (м)	Е.Ю. Воякина
